"first_names" "last_names" "marks"
"Alexandra" "Lawson" "3.48"
"Aiman" "el-Hussein" "4.5"
"Gabriel" "Boden" "4.55"
"Wanya" "Quick" "4.7"
"Zhoumingshi" "Hang" "2.53"
"Alexander" "Fertig" "2.95"
"Adham" "el-Molla" "2.1"
"Wardiyya" "el-Jan" "4.56"
"Zachary" "Lampert" "2.72"
"Kameel" "el-Bashir" "2.83"
"Latisha" "Wu" "1.79"
"Giovanni" "Rouse" "3.77"
"Jeremiah" "King" "3.42"
"Dakota" "Heidrich" "3.43"
"Baaqir" "el-Nawaz" "5.13"
"Bryan" "Blea" "3.93"
"Danny" "Valdez" "4.23"
"Pierre" "Wells" "4.63"
"Reynis" "Ramirez" "2.13"
"Kenneth" "Hyden-Terry" "3.89"
"Cinoi" "Thomas" "3.78"
"Julia" "Rippy" "2.78"
"Rebecca" "Lindsey" "3.05"
"Eric" "Chaparro" "3.44"
"Anthony Jr" "Berhane" "2.88"
"Nadezhda" "Mcfarland" "4.46"
"Sheila" "Wahlgren" "4.27"
"Megan" "Silverston" "2.67"
"Mayra" "Pena-Medel" "5.09"
"Sauvnhia" "Sanchez" "2.17"
"David" "Garrison" "2.07"
"Yareli" "Nieto" "3.78"
"Robert" "Le" "3.07"
"Shalynn" "Dall" "2.34"
"William" "Smith" "4.2"
"April" "Tosh" "3.47"
"Eric" "Moua" "1.51"
"Chloe" "Fernandez" "3.87"
"Daniel" "Michalski" "1.94"
"Danielle" "Decker" "3.68"
"Zuhriyaa" "al-Selim" "4.46"
"Holly" "Brooks-Jeremiah" "3.19"
"Kincaid" "Mrazik" "1.42"
"Zakariyya" "el-Farran" "3.23"
"Abdul Baari" "al-Salih" "4.14"
"Jesus" "Romo" "2.48"
"Tyler" "Watlington" "5.88"
"Cyrus" "Vasquez" "2.12"
"Leopoldo" "Colmenero" "3.78"
"Alejandro" "Coriano" "2.71"
"Marian" "Koehn" "4.34"
"Mutasim" "el-Rasul" "4.02"
"Nizhoni" "Spoon" "1.7"
"Alexandria" "Diaz" "2.27"
"Ocean" "Crowe" "3.26"
"Anaiya" "Shambe" "4.91"
"Guillermo" "Lopez" "3.67"
"Christopher" "Johnson" "2.35"
"Tevin" "Glaspie" "4.17"
"Jenna" "Lalonde" "3.22"
"Shraya" "Young" "3.8"
"Sean" "Torres" "1.84"
"Schyeler" "Oswalt-Naasz" "1.98"
"Erica" "Armstrong" "3.48"
"Rodney" "Williams" "3.7"
"Courtni" "Yancey" "3.39"
"Hissa" "el-Zaki" "4.44"
"Ronald" "Perez" "3.27"
"Cody" "Farris" "4.03"
"Dechelle" "Spann" "3.44"
"Brandon" "Jones" "3.84"
"Imaad" "el-Sani" "2.63"
"Elana" "Crowe" "4.43"
"Felicia" "Chen" "2.64"
"Christopher" "Samadh" "2.99"
"Justin" "Denny" "5.1"
"Lassana" "Robinson" "3.97"
"Jade" "Campbell" "3.23"
"Brenda" "Bocanegra" "2.56"
"Mary" "Mckay" "3.15"
"Daeshawe" "Diakite" "4.38"
"Lee Ann" "Yoo" "3.93"
"Brenna" "Crowley" "3.59"
"Amanda" "Drake" "1.62"
"Dylon" "Pena" "4.31"
"Taylor" "Brink" "4.15"
"Joshua" "Alzamily" "4.63"
"Zachary" "Gillette" "4.17"
"Matthew" "Tian" "2.72"
"Andre" "Sonoda" "3.69"
"Lily" "Avila" "2.81"
"Caley" "Brown" "3.84"
"Brent" "Morris" "2.83"
"Samantha" "Chittarath" "3.7"
"Raamiz" "al-Shabazz" "3.86"
"Ignatius" "Mcdaniel" "1.28"
"Akosua" "Brooks" "3.41"
"Samantha" "Gomez" "3.77"
"Kristofer" "Islam" "4.82"
"Erika" "Eisenbarth" "3.05"
"Aqeel" "al-Salehi" "3.65"
"Martie" "Taravella" "2.51"
"Amy" "Lytle" "2.88"
"Q Mahni" "Madere" "3.89"
"Tanner" "Lapaz" "1.79"
"Tyler" "Warren" "3.38"
"Alexis" "Begay" "3.66"
"Raelynn" "Iron Cloud" "2.97"
"Zubaida" "el-Akbari" "3.46"
"Ruby" "Thomas" "2.82"
"Brenda" "Apodaca Trevizo" "3.5"
"Tyrah" "Amos White" "4.39"
"Jennifer" "Guerrero" "5.36"
"Desiree" "Nickels" "4.11"
"Lila" "Ficek" "3.51"
"Megan" "Kaiser" "4.84"
"Bradley" "Dietz" "4.03"
"Kenneth" "Sutton" "3.63"
"Tokala" "Wall" "3.7"
"Zuhra" "el-Jabara" "2.52"
"Yashmin" "Willis" "2.84"
"Miguel" "Martinez" "2.92"
"Christina" "Crane" "3.76"
"Mckela" "Waits" "3.52"
"Jaylyn" "Chaca" "4.97"
"Victoria" "Luebbers" "2.18"
"Thomas" "Nsubuga" "3.88"
"Jessica" "King-Smithey" "2.33"
"Nicholas" "Dhanani" "2.59"
"Khaliel" "Verdine" "2.63"
"Zain" "el-Ismael" "3.22"
